Postcode,Latitude,Longitude
RG15PX,51.448387,-0.948165
RG15PZ,51.448679,-0.948614
RG15QA,51.448944,-0.950225
RG15QB,51.448327,-0.946598
RG15QE,51.447496,-0.949121
RG15QG,51.447581,-0.948529
RG15QH,51.44689,-0.948626
RG15QJ,51.446602,-0.947674
RG15QL,51.447843,-0.946768
RG15QP,51.446491,-0.946324
RG15QR,51.446868,-0.947159
RG15QS,51.447821,-0.947257
RG15QT,51.446382,-0.956299
RG15QU,51.45201,-0.952198
RG15QW,51.447099,-0.945979
RG15QY,51.450004,-0.951107
RG15RA,51.450072,-0.944524
RG15RB,51.447145,-0.942093
RG15RD,51.45052,-0.94544
RG15RE,51.446888,-0.942473
RG15RF,51.451855,-0.945927
RG15RG,51.447059,-0.943476
RG15RH,51.450172,-0.942785
RG15RJ,51.450505,-0.943727
RG15RL,51.447337,-0.941441
RG15RN,51.449537,-0.944153
RG15RQ,51.447879,-0.939788
RG15RR,51.450958,-0.945142
RG15RT,51.451903,-0.948243
RG15RU,51.450917,-0.946567
RG15RW,51.449546,-0.94316
RG15RX,51.449597,-0.945734
RG15RY,51.451212,-0.947367
RG15SA,51.449584,-0.947375
RG15SB,51.450938,-0.947891
RG15SD,51.450788,-0.948254
RG15SE,51.449377,-0.946329
RG15SF,51.447805,-0.945459
RG15SH,51.44808,-0.944071
RG15SJ,51.448094,-0.944589
RG15SL,51.447927,-0.941969
RG15SN,51.448539,-0.944075
RG15SP,51.448649,-0.939424
RG15SQ,51.447619,-0.944844
RG15TX,51.431561,-0.971252
RG15UD,51.431561,-0.971252
RG15UH,51.431561,-0.971252
RG15YU,51.431562,-0.971231
RG16AB,51.451451,-0.976388
RG16AD,51.450642,-0.978522
RG16AE,51.450666,-0.980248
RG16AF,51.450392,-0.981823
RG16AG,51.449812,-0.982175
RG16AH,51.44926,-0.981906
RG16AJ,51.448942,-0.981524
RG16AL,51.448531,-0.981821
RG16AN,51.449342,-0.979961
RG16AP,51.4502,-0.979381
RG16AQ,51.449466,-0.981679
RG16AR,51.449102,-0.979262
RG16AS,51.448793,-0.978729
RG16AT,51.4486,-0.979474
RG16AU,51.449495,-0.979008
RG16AX,51.449294,-0.978638
RG16AY,51.448872,-0.977669
RG16AZ,51.44975,-0.977276
RG16BA,51.449315,-0.976854
RG16BB,51.449708,-0.976543
RG16BH,51.452204,-0.973062
RG16BJ,51.452204,-0.973062
RG16BN,51.449099,-0.979773
RG16BQ,51.451381,-0.977671
RG16BS,51.451329,-0.974808
RG16BT,51.451466,-0.97397
RG16BU,51.449811,-0.974792
RG16BW,51.448989,-0.979725
RG16BX,51.451546,-0.974904
RG16BY,51.45205,-0.973986
RG16BZ,51.451083,-0.974425
RG16DA,51.442413,-0.985655
RG16DB,51.443189,-0.985854
RG16DD,51.442514,-0.986725
RG16DG,51.446904,-0.979886
RG16DH,51.445039,-0.985669
RG16DJ,51.446112,-0.983739
RG16DL,51.446315,-0.984475
RG16DN,51.445458,-0.986264
RG16DP,51.442392,-0.995641
RG16DQ,51.445268,-0.984096
RG16DR,51.441408,-0.993102
RG16DS,51.44236,-0.986721
RG16DU,51.443253,-0.990212
RG16DW,51.44339,-0.991339
RG16DX,51.443024,-0.989743
RG16DY,51.442288,-0.990867
RG16DZ,51.447616,-0.978028
RG16EA,51.442549,-0.993019
RG16EB,51.441819,-0.993927
RG16ED,51.442124,-0.992712
RG16EE,51.441845,-0.994833
RG16EF,51.442964,-0.995341
RG16EG,51.445474,-0.992351
RG16EH,51.443903,-0.992587
RG16EJ,51.44534,-0.977906
RG16EN,51.443629,-0.981715
RG16EP,51.444199,-0.982076
RG16EQ,51.444607,-0.992888
RG16ER,51.444024,-0.982612
RG16ES,51.443542,-0.984062
RG16ET,51.444114,-0.983718
RG16EU,51.444073,-0.985158
RG16EW,51.442771,-0.984367
RG16EX,51.443368,-0.984756
RG16EY,51.443952,-0.985722
RG16EZ,51.444715,-0.985647
RG16FA,51.449958,-0.990928
RG16FB,51.443567,-0.985903
RG16FD,51.450948,-0.978501
RG16FE,51.45019,-0.990736
RG16FF,51.447845,-0.974218
RG16FG,51.45072,-0.991674
RG16FH,51.447395,-0.974113
RG16FJ,51.445602,-0.988139
RG16FL,51.445376,-0.988044
RG16FN,51.449651,-0.980221
RG16FP,51.452044,-0.988659
RG16HA,51.444929,-0.983369
RG16HB,51.444545,-0.983651
RG16HD,51.448054,-0.978709
RG16HE,51.448345,-0.976976
RG16HF,51.448409,-0.976068
RG16HG,51.448051,-0.97835
RG16HH,51.450239,-0.983928
RG16HJ,51.449943,-0.985028
RG16HL,51.448438,-0.99194
RG16HN,51.449858,-0.984526
RG16HP,51.44867,-0.988553
RG16HQ,51.44918,-0.986167
RG16HR,51.448292,-0.990562
RG16HS,51.447616,-0.992519
RG16HT,51.446391,-0.991194
RG16HU,51.446176,-0.993357
RG16HW,51.449337,-0.987761
RG16HX,51.448219,-0.991484
RG16HY,51.447716,-0.989538
RG16JA,51.446452,-0.989998
RG16JB,51.446526,-0.989133
RG16JD,51.447792,-0.988903
RG16JE,51.448079,-0.981422
RG16JF,51.449316,-0.985286
RG16JP,51.447712,-0.982861
RG16JS,51.447731,-0.980817
RG16JT,51.448242,-0.977597
RG16JU,51.447153,-0.980421
RG16JW,51.451814,-0.976783
RG16JX,51.446953,-0.982346
RG16JZ,51.447154,-0.983795
RG16LA,51.44611,-0.99202
RG16LB,51.448353,-0.987207
RG16LG,51.449906,-0.983684
RG16LH,51.450346,-0.983767
RG16LJ,51.449737,-0.982975
RG16LL,51.448279,-0.98387
RG16LN,51.446537,-0.986269
RG16LP,51.446976,-0.987137
RG16LQ,51.449146,-0.984312
RG16LR,51.44652,-0.987406
RG16LS,51.445731,-0.986453
RG16LT,51.446245,-0.985743
RG16LU,51.447159,-0.985349
RG16LW,51.448415,-0.985033
RG16LZ,51.450095,-0.980643
RG16NA,51.451384,-0.984262
RG16NB,51.451027,-0.98345
RG16NF,51.45107,-0.985377
RG16NG,51.451534,-0.98495
RG16NH,51.451009,-0.986573
RG16NJ,51.450772,-0.988305
RG16NL,51.451875,-0.986899
RG16NN,51.451532,-0.987785
RG16NP,51.451488,-0.98898
RG16NQ,51.450463,-0.985808
RG16NR,51.451968,-0.989236
RG16NS,51.45022,-0.986821
RG16NW,51.450467,-0.987391
RG16NX,51.449939,-0.988741
RG16NY,51.451118,-0.989837
RG16NZ,51.451274,-0.990237
RG16PA,51.451778,-0.991305
RG16PB,51.451404,-0.991788
RG16PD,51.451099,-0.990744
RG16PE,51.450082,-0.989616
RG16PF,51.447606,-0.986188
RG16PG,51.449321,-0.991028
RG16PH,51.449527,-0.992074
RG16PN,51.448103,-0.986407
RG16PP,51.448643,-0.984395
